Char,Sentiment_score,Unicode_name
🎿,0.375,SKI_AND_SKI_BOOT
✦,0.063,BLACK_FOUR_POINTED_STAR
🆔,0.750,SQUARED_ID
⛪,0.125,CHURCH
🌒,0.563,WAXING_CRESCENT_MOON_SYMBOL
🐪,0.563,DROMEDARY_CAMEL
╔,0.250,BOX_DRAWINGS_DOUBLE_DOWN_AND_RIGHT
╝,0.438,BOX_DRAWINGS_DOUBLE_UP_AND_LEFT
👔,0.333,NECKTIE
🔱,0.067,TRIDENT_EMBLEM
🆓,0.200,SQUARED_FREE
🐋,0.200,WHALE
▽,0.400,WHITE_DOWN-POINTING_TRIANGLE
▂,0.000,LOWER_ONE_QUARTER_BLOCK
🐛,0.267,BUG
👕,0.400,T-SHIRT
🚋,0.067,TRAM_CAR
💳,0.400,CREDIT_CARD
🌆,0.133,CITYSCAPE_AT_DUSK
🏧,0.800,AUTOMATED_TELLER_MACHINE
💡,0.600,ELECTRIC_LIGHT_BULB
🔹,0.133,SMALL_BLUE_DIAMOND
⬅,0.467,LEFTWARDS_BLACK_ARROW
🍠,0.000,ROASTED_SWEET_POTATO
🐫,0.333,BACTRIAN_CAMEL
🏪,0.067,CONVENIENCE_STORE
۩,0.000,ARABIC_PLACE_OF_SAJDAH
🇱,0.400,REGIONAL_INDICATOR_SYMBOL_LETTER_L
📹,0.429,VIDEO_CAMERA
👞,0.429,MANS_SHOE
🚑,0.071,AMBULANCE
🆘,0.071,SQUARED_SOS
👚,0.571,WOMANS_CLOTHES
🚍,0.071,ONCOMING_BUS
□,-0.214,WHITE_SQUARE
🐂,0.143,OX
🚣,0.571,ROWBOAT
✳,0.000,EIGHT_SPOKED_ASTERISK
🏉,0.500,RUGBY_FOOTBALL
🗻,0.571,MOUNT_FUJI
🐀,0.143,RAT
╦,0.357,BOX_DRAWINGS_DOUBLE_DOWN_AND_HORIZONTAL
⛺,0.462,TENT
🐕,0.231,DOG
🏂,0.385,SNOWBOARDER
👡,0.385,WOMANS_SANDAL
📻,0.308,RADIO
✒,0.231,BLACK_NIB
🌰,0.538,CHESTNUT
🏢,0.154,OFFICE_BUILDING
🎒,0.462,SCHOOL_SATCHEL
⌒,0.538,ARC
🏫,-0.231,SCHOOL
📴,0.615,MOBILE_PHONE_OFF
